id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,hashtag,date,content,interactions
1.0,Morgenstern616,"Programista Kajetan Mastela stworzył model w Pythonie, który symulował, jak głosy z pierwszej tury powinny rozłożyć się w drugiej turze, uwzględniając badania przepływów elektoratów. Wykrył ponad 800 komisji, w których Nawrocki uzyskał znacznie więcej głosów niż przewidywał model. Postuluje pełne, transparentne przeliczenie głosów, aby odbudować zaufanie do procesu wyborczego. facebook.com/story.php?story…",71,1269,107,1447.0,08-06-25,409.0,50.0,,https://nitter.net/Morgenstern616/status/1931633317729681917#m,,,,
2.0,bogo141,"MAZUREK: ""Nawrockiemu zginęło 77000 głosów. Gdyby Nawrocki miał takiego wariata jak #GiertychDebil to internety by już zapłonęły."" Dlatego też ryży uspokaja, TVałszeNy milczą. Bo może okazać się, że POpaprańcy właśnie, być może, skręcili wybory!",9,458,20,487.0,07-06-25,245.0,34.0,,https://nitter.net/bogo141/status/1931381867674038375#m,,,,
3.0,DoRzeczy_pl,".@WTumanowicz: Karol Nawrocki przekonał wyborców Sławomira Mentzena i Konfederacji, że jest krytyczny wobec rządów PiS w zakresie polityki covidowej, migracyjnej, podatkowej, polityki Zielonego Ładu. [...] Jest szansa, że będzie prezydentem obywatelskim ⬇️ dorzeczy.pl/738120",0,20,5,25.0,08-06-25,275.0,33.0,,https://nitter.net/DoRzeczy_pl/status/1931770563694940661#m,,,,
4.0,Menka777,"Aż w 3751 komisjach są nieprawidłowości w przypisywaniu głosów! Z poniższego wynika, że Nawrocki nie wygrał tych wyborów... #PowtorzyćDrugaTure #PrzeliczmyGlosy",0,62,0,62.0,08-06-25,160.0,20.0,,https://nitter.net/Menka777/status/1931784298215923860#m,,,,
5.0,jasiu320,"W całej aferze wyborczej mi nie chodzi o to, kto wygra — Trzaskowski czy Nawrocki!? Chodzi o uczciwość! Chcę mieć pewność, że mój głos trafi tam, gdzie go oddałem. Że nie zostanie sfałszowany, zgubiony, zmanipulowany. Bez tego wybory to fikcja, a demokracja to kłamstwo!",2,27,3,32.0,08-06-25,270.0,44.0,,https://nitter.net/jasiu320/status/1931792494632526216#m,,,,
6.0,Vampiorek,"Nie zgodzę się,wielu wyborców szła głosować na Rafała Trzaskowskiego by ratować kraj,byleby tylko nie Nawrocki.Koalicja zamiast wystawić jednego kandydata żarła się,podkopywała Rafała Trzaskowskiego,a mistrzostwem były ziemniaki w DPSie,nie szukajmy winy w tych którzy nie poszli.",0,0,0,0.0,08-06-25,280.0,35.0,,https://nitter.net/Vampiorek/status/1931796407695888609#m,,,,
7.0,Propeertys,Tak tylko przypomnę te 90% dziwnym trafem znalazło się przy nazwisku Nawrocki w niektórych komisjach,0,26,4,30.0,08-06-25,100.0,15.0,,https://nitter.net/Propeertys/status/1931787865362452634#m,,,,
8.0,krz_michalek,"Czy Karol Nawrocki może zostać legalnie zaprzysiężony? Nie. Dlaczego? Ta Izba jest sprzeczna z polską Konstytucją (art. 45) i wyrokami TSUE. Sam SN w 2020 r. uznał, że jest złożona z wadliwie powołanych sędziów. Legalne wyjście? Nowe wybory i przejęcie obowiązków przez Marszałka.",22,232,388,642.0,08-06-25,280.0,43.0,,https://nitter.net/krz_michalek/status/1931738917382115328#m,,,,
9.0,RafalPrzemysl,"Cała ""dziennikarska i polityczna śmietanka"" zgodnie dzisiaj chórkiem powtarza, że nie należy podważać wyniku wyborów. Pamiętajcie więc moi mili, gdy Nawrocki wygrywa w Gdańsku lub Opolskim, w co nie uwierzy nikt, to buzie na kłódkę i ani mru mru, bo pisowcy źle o nas pomyślą.",1,63,3,67.0,08-06-25,276.0,45.0,,https://nitter.net/RafalPrzemysl/status/1931729480319479855#m,,,,
10.0,FremdenlegionPL,Błogosławionego dnia Polsko. W święto Zesłania Ducha Świętego szczególnie 🇵🇱 Nasz Prezydent - dr Karol Nawrocki 🥊,7,447,90,544.0,08-06-25,113.0,17.0,,https://nitter.net/FremdenlegionPL/status/1931591684766273999#m,,,,
