id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
1,HubnerrMax,Max Hübner,"Prezydent elekt Karol Nawrocki poinformował, że za sprawy Polonii w jego Kancelarii odpowiadać będzie Agnieszka Jędrzak - dotychczasowa Dyrektor Biura Współpracy Międzynarodowej IPN. Cieszy jak cholera - wykonała tytaniczną pracę na rzecz pamięci o Polsce na świecie. Cudownie.",791,226,9,1,"Jul 21, 2025 · 4:52 PM UTC",38,277,https://nitter.net/HubnerrMax/status/1947339011900534798#m
2,OKP_oficjalny,PopieramyKarolaNawrockiego🇵🇱,"🎥 📢✌️""Mamy zakodowane w sercu trzy słowa: Bóg, honor, Ojczyzna. To jest nasza siła. I to jest to też jego siła. Karol Nawrocki wierzy w to, że razem z milionami Polaków uczyni Polskę wielką i wspaniałą, która będzie wzorem dla innych narodów. Zaprzysiężenie będzie dniem niezwykłej demonstracji przywiązania do Ojczyzny. Ten Prezydent jest wielką nadzieją na przemianę rzeczywistości, której nie akceptujemy. Że będzie miłość, a nie nienawiść. Tego życzę Panu Prezydentowi z całego serca"" - Halina Łabonarska z Obywatelskiego Komitetu Poparcia zachęca do udziału w uroczystościach 6 sierpnia w Warszawie. 🇵🇱🇵🇱🇵🇱",203,77,8,4,"Jul 21, 2025 · 5:48 PM UTC",91,611,https://nitter.net/OKP_oficjalny/status/1947353002353799178#m
3,DawidWildstein,Dawid Wildstein,"Znów mnie nie było niecałą dobę, wracam i okazuje się, że jakaś banda psycholi uznała, że wyleje pornograficzny hejt na dziewczynkę, którą wziął na barana Nawrocki. I kto to zrobił? Oczywiście jakieś Uśmiechnięte Bydło z okolic Giertycha. Mam tylko jedno pytanie. Dlaczego w 99 procentach każdy, kto ma w nazwie Europejską flagę, znaczek PO i słowa ""Silni Razem"" okazuje się skrajnie durnym, niebywale agresywnym i sfrustrowanym seksualnie degeneratem, który najbardziej kocha atakować dzieci? Jak udało się Giertychowi i Tuskowi ich wyhodować? Przecież to przeczy wszelkim prawom statystyki. Nawet wśród takiej zgrai chamstwa powinno być kilku normalnych- a nie ma...",960,303,24,2,"Jul 21, 2025 · 8:44 AM UTC",99,668,https://nitter.net/DawidWildstein/status/1947216165341667681#m
4,EwaZamojska,Ewa,"Mularczyk:""Nawrocki jest problemem dla Niemców"". Drogi panie, Nawrocki jest przede wszystkim problemem dla Polaków.",3024,392,105,7,"Jul 21, 2025 · 5:49 AM UTC",14,115,https://nitter.net/EwaZamojska/status/1947172087161901231#m
5,Nawrocki25,#Nawrocki2025,"🇵🇱 Karol Nawrocki w mediach! ⏰ Już dziś o 18:15 Prezydent Elekt w programie “Rozmowy Niedokończone” na antenie @TV_Trwam i @RadioMaryja . 🔥 Bądźcie z nami – porozmawiajmy o Polsce, przyszłości i wartościach, które nas łączą!",510,226,74,7,"Jul 21, 2025 · 10:23 AM UTC",36,224,https://nitter.net/Nawrocki25/status/1947241128757010736#m
6,PolsatNewsPL,PolsatNews.pl,"""Odmawiam udziału w tym gorszącym dla mnie widowisku"" - przekazał Lech Wałęsa. Były prezydent opublikował zdjęcie zaproszenia na Zgromadzenie Narodowe, podczas którego prezydent elekt Karol Nawrocki złoży przysięgę. polsatnews.pl/wiadomosc/2025…",823,109,592,30,"Jul 21, 2025 · 10:10 AM UTC",29,245,https://nitter.net/PolsatNewsPL/status/1947237784709656709#m
7,gfkot,Grzegorz Kot,Nawrocki go wybrał do kancelarii. Pasuje?,258,27,70,3,"Jul 21, 2025 · 5:47 PM UTC",6,41,https://nitter.net/gfkot/status/1947352755930337463#m
8,Zosia99363505,Pablita Moralita / Zosia SnaW🇵🇱#Trzaskowski2025,Proszę podać Iloma Głosami wygrał Nawrocki🤔😳,96,6,8,0,"Jul 21, 2025 · 3:37 PM UTC",6,44,https://nitter.net/Zosia99363505/status/1947319915607662645#m
9,niezaleznapl,Niezalezna.PL,niezalezna.pl/polityka/nawro…,0,0,0,0,"Jul 21, 2025 · 6:55 PM UTC",1,29,https://nitter.net/niezaleznapl/status/1947369747714118054#m
10,niezaleznapl,Niezalezna.PL,🔴 PILNE! Nawrocki odsłonił kolejne karty. Każdy ze współpracowników przyszłego prezydenta usłyszał ten sam warunek. 🧵 Chcesz wiedzieć więcej? Zajrzyj do komentarza 🧵,0,0,1,0,"Jul 21, 2025 · 6:55 PM UTC",23,165,https://nitter.net/niezaleznapl/status/1947369746078257610#m
11,RepublikaTV,Telewizja Republika 🇵🇱 #włączprawdę,"#PILNE : Zbigniew Bogucki szefem Kancelarii Prezydenta, Adam Andruszkiewicz jego zastępcą #włączprawdę #TVRepublika tvrepublika.pl/Polska/Nawroc…",56,10,2,0,"Jul 21, 2025 · 4:53 PM UTC",14,145,https://nitter.net/RepublikaTV/status/1947339136580346179#m
