id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,viol_81,"Tymczasem POLITICO, kawa na ławę: ""Od bohatera do zera"" politico.eu/article/poland-f…",0,0,0,0,06-09-25,85,10,,https://nitter.net/viol_81/status/1964396194651627525#m
2,Beata_Andre,"Minął miesiąc odkąd Nawrocki został prezydentem. Obiecywał “tani prąd od pierwszego dnia”. Obiecał pan ludziom ulgę, dał pan im środkowy palec! Prąd dalej kosztuje, a cierpliwość się kończy!",1,51,106,158,06-09-25,190,28,,https://nitter.net/Beata_Andre/status/1964307507754471759#m
3,ryszcuk,"Trump : ""zaprosiłem Polskę na szczyt G20"" Nawrocki: ""Donald Trump zaprosił m n i e na szczyt G-20""...ktoś tu chyba kłamie...NIE❓❓",7,108,164,279,06-09-25,129,21,,https://nitter.net/ryszcuk/status/1964218865874825453#m
4,PiotrSemka,"„My, Polacy, w żadnym razie nie szukamy zemsty ale równocześnie nie chcemy i nie możemy zapomnieć o dziesiątkach tysięcy naszych rodaków – mężczyzn, kobiet i dzieci – zabitych tylko dlatego, że rozmawiali i modlili się po polsku” - napisał prezydent Karol Nawrocki w liście do uczestników uroczystości pogrzebowych polskich ofiar Zbrodni Wołyńskiej w Puźnikach na ziemi lwowskiej. List został odczytany przez szefa Biura Polityki Międzynarodowej Marcina Przydacza. Dziś odbyły się uroczystości pogrzebowe polskich ofiar zbrodni UPA w Puźnikach . wpolityce.pl/historia/739772…",1,72,1,74,06-09-25,575,80,,https://nitter.net/PiotrSemka/status/1964357756040724640#m
5,WhiteHouse,President Donald J. Trump welcomes Polish President Karol Nawrocki to the White House. 🇺🇸🇵🇱 Forging stronger ties & making history.,299,4002,877,5178,04-09-25,131,20,,https://nitter.net/WhiteHouse/status/1963569030658166855#m
6,ANU17778097,📢 PEŁNA ZGODA ‼️ PANI @EMichalik 🔴 Karol Nawrocki nie jest prezydentem‼️ a 🔴 Hołownia powinien stanąć przed Trybunałem Stanu‼️,0,5,1,6,06-09-25,126,20,,https://nitter.net/ANU17778097/status/1964393304205774914#m
7,k_wachowska,"Panie Nawrocki, mając jeszcze politycznie mleko pod nosem, komentuje Pan prowadzenie polityki międzynarodowej Ministra Sikorskiego, który działał na szczeblu międzynarodowym jak jeszcze Pan miał kółko od nocnika odciśnięte na tyłku.",64,416,147,627,06-09-25,232,30,,https://nitter.net/k_wachowska/status/1964260483713605937#m
8,Morgenstern616,"Fitch właśnie obniżył perspektywę Polski do negatywnej. I nie chodzi o brak potencjału naszej gospodarki. Problemem jest chaos jaki wywołuje Nawrocki, który zamiast współpracować, blokuje kluczowe reformy. Szkodnik w pałacu, kolejny. fitchratings.com/research/so…",13,319,215,547,06-09-25,263,32,,https://nitter.net/Morgenstern616/status/1964226185572823337#m
9,Arrogance_0024,3/ This matters. Nawrocki studied what happens when nations lose sovereignty and when elites betray their people. He shaped Poland’s WWII museum in Gdańsk and the Institute of National Remembrance. He knows that weakness means disappearance.,0,6,1,7,06-09-25,241,36,,https://nitter.net/Arrogance_0024/status/1964378063136809227#m
10,GiertychRoman,Brawo Nawrocki!,7,238,656,901,05-09-25,15,2,,https://nitter.net/GiertychRoman/status/1963991546841161960#m
