id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
1,Josef_Alexandr,Alexander Joseph S Babao🇵🇭,"Probably Nawroki Fever. Poland's New President by Aug 1. Right wing and Eurosceptic..His rise reflects a powerful shift in the electorate, especially among younger men, rural voters, and those disillusioned with the EU’s influence. A Younger Victor Orban in Polish sovereignty, who doesn’t want Brussels telling Warsaw how to run its courts or who to accept as migrants, but favors NATO as defense partner.",3,1,1,0,"Jul 20, 2025 · 7:30 AM UTC",64,406,https://nitter.privacyredirect.com/Josef_Alexandr/status/1946834972263711135#m
2,2mara571,MariaRazborska#TakDlaCPK@2mara571,"Odslichalam i mam prosbe do @grok : podpowiedz niemieckiej wersji, ze nazwisko nowego prezydenta należałoby czytać Nawrozki, nie Nawroki.",1,0,1,0,"Jul 18, 2025 · 4:47 AM UTC",19,137,https://nitter.privacyredirect.com/2mara571/status/1946069175362892117#m
3,Danielh15215783,DANNYBHOY88,17 million Kuhn 2 million lagerbielke 5 million frimpong money. And possible loan fee for nawroki. Rounded it up to 25. Make it 24 if that’s better for you 👍🏼,0,0,1,0,"Jul 15, 2025 · 1:18 PM UTC",30,158,https://nitter.privacyredirect.com/Danielh15215783/status/1945110646900535538#m
4,Speedlimit9999,Freedom999,Brawo Karol Nawroki,0,0,0,0,"Jul 4, 2025 · 2:00 PM UTC",3,19,https://nitter.privacyredirect.com/Speedlimit9999/status/1941134963036004545#m
5,preis_radek,RadosławPreis,Wygral Karol Nawroki. Kropka.,0,0,0,0,"Jun 27, 2025 · 6:55 AM UTC",4,29,https://nitter.privacyredirect.com/preis_radek/status/1938491445448519921#m
6,HoopsSpalding,55palding_Hoop55,BR has consistently said that Nawroki isn't left sided which is why he plays Scales. I wonder if he's held onto him so long is that he's seen him as CCVs replacement ?,0,0,0,0,"Jun 14, 2025 · 8:25 PM UTC",33,167,https://nitter.privacyredirect.com/HoopsSpalding/status/1933984235804893413#m
7,JosefPilduski,Józef Piłsudski,"Gente...ele perdeu as eleições. Eu mesmo não votei nele , votei em Nawroki.",0,0,0,0,"Jun 12, 2025 · 10:11 PM UTC",13,75,https://nitter.privacyredirect.com/JosefPilduski/status/1933286047405793704#m
8,SurdoiuT,Tudor Surdoiu 🇷🇴🇪🇺,Si atunci ce cauta PiS in Romania sa-l sustina pe Simuion sau de ce Trump l-a sustinut pe Nawroki? Alooo dubla masura! Lasa harneala ca esti penibil!,2,0,0,0,"Jun 11, 2025 · 6:10 PM UTC",27,149,https://nitter.privacyredirect.com/SurdoiuT/status/1932863015793439061#m
9,benny0692698414,benny 🇩🇰 🇫🇴 🇬🇱 🇪🇺 🇺🇦,"Tusk survives confidence vote Poland's government won a confidence vote in parliament on Wednesday. Reuters reported, according to Ritzau. At the start of June, the government supported the middle-seeking Rafal Trzakowski, who lost his pinch to Karol Nawroki, and it triggered the confidence vote. Donald Tusk, who is prime minister, held the vote to show that the government still has a majority.",1,0,0,0,"Jun 11, 2025 · 5:52 PM UTC",62,397,https://nitter.privacyredirect.com/benny0692698414/status/1932858443993325906#m
10,CopernicusNic1,Copernikus,"Słucham dzisiaj radia BBC4 a tu o Polsce, wzrost 4%, Tusk, wotum ufności dzisiaj i....😅😅 Były huligan i WZMIANKA o anty unijni prezydent elekt Karol NAWROKI🤣🤣🤣😝. Przekręcili mu nazwisko 😝🤣🤣🤣. W ukeju nie lubimy huliganow 💪🏻👊🏻😎🤘🏻.",3,0,0,0,"Jun 11, 2025 · 7:07 AM UTC",36,229,https://nitter.privacyredirect.com/CopernicusNic1/status/1932696146646085644#m
11,RyszardKalewski,Ryszard Kalewski,"Wp (Weź Pedale!) umieszcza news! Nawroki! Ostatnio ci idioci z wp napisali, że gubernatorem Kalifornii jest Newscum :) wiadomosci.wp.pl/nawroki-lea…",0,0,0,0,"Jun 10, 2025 · 5:08 PM UTC",19,148,https://nitter.privacyredirect.com/RyszardKalewski/status/1932484959937192021#m
12,yaabooma,Baab,"Naomi, you need more messages with cute small children Hansi, what do you want for Christmas? Well, an AfD meat tenderiser, and and AfD knife, and that cool fairy tale written by Naomi Seibt, illustrated by Guarnido. The one with werewolf Nawroki from Poland. And an NS mousepad",2,0,0,0,"Jun 10, 2025 · 4:08 PM UTC",48,278,https://nitter.privacyredirect.com/yaabooma/status/1932469900922228881#m
13,DineroEnImagen,Dinero en Imagen,"#KarolNawrocki , historiador y exboxeador, ganó la presidencia de Polonia tras unas reñidas #elecciones . Conoce quién es y su trayectoria dineroenimagen.com/actualida…",0,1,0,0,"Jun 8, 2025 · 1:00 PM UTC",22,168,https://nitter.privacyredirect.com/DineroEnImagen/status/1931697721288642893#m
14,reilly_tam,Tam Reilly,"Nawroki never put a foot wrong, but hasn’t had a fair chance, the rest fair enough",0,0,0,0,"Jun 7, 2025 · 9:34 PM UTC",16,82,https://nitter.privacyredirect.com/reilly_tam/status/1931464794739036527#m
15,GarryXDee,GeeExDee #ScotlandFirst,I’d keep Nawroki!,1,0,0,0,"Jun 7, 2025 · 6:13 PM UTC",3,17,https://nitter.privacyredirect.com/GarryXDee/status/1931414206039113894#m
16,Aneta60730283,Aneta,Nawrocki not Nawroki,1,0,0,0,"Jun 6, 2025 · 9:31 PM UTC",3,20,https://nitter.privacyredirect.com/Aneta60730283/status/1931101647272542250#m
