id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,CMShehbaz,Congratulations to H.E. Mr. Karol Nawrocki @NawrockiKn on his victory in the Presidential elections in Poland. I wish President-elect Nawrocki success in building a bright future for his country and look forward to working with him to strengthen Pakistan-Poland ties in the days ahead.,3,269,150,422,"Jun 4, 2025 · 2:51 AM UTC",285,44,
2,kalinowski__,Ładne. Karol Nawrocki pod Kękę robi robotę.,2,77,3,82,"Jun 4, 2025 · 1:44 PM UTC",43,7,
3,PrawaStronaa,"Karol Nawrocki przygotowuje pozwy dla ludzi którzy publicznie w kampanii nazywali go ""gangusem"" i ""sutenerem""",28,566,324,918,"Jun 4, 2025 · 2:47 PM UTC",109,15,
4,KoneserUnii,PILNE Prezydent Elekt Nawrocki będzie pozywał tych co Go nazywali Sutenerem,12,374,255,641,"Jun 4, 2025 · 3:59 PM UTC",75,11,
5,JSmigowski,"Nawrocki - alfons Trump - agent Kremla Victor Orban- podnóżek Putina Fico- ruski oszołom Tak nasze ""elity"" określają premierów i prezydentów. Oni wolą kanclerza Merz'a który pomiata Tuskiem oraz gwarancje bezpieczeństwa Macrona i Starmera🤷 To się w pale nie mieści!",9,658,95,762,"Jun 3, 2025 · 6:17 PM UTC",265,40,
6,jachcy,Karol Nawrocki będzie mial immunitet⁉ To może chociaż rozliczmy jego żonę🤡,2,25,24,51,"Jun 4, 2025 · 6:49 PM UTC",74,11,
7,Lukasz1951,Mnie też proszę pozwać Karol Nawrocki to gangus i sutener. W sądzie proszę udowodnić że to nieprawda. Zgadzam się aby rozprawa była jawa a sposobem udowodnienia badanie na wariografie.,0,0,0,0,"Jun 4, 2025 · 6:55 PM UTC",184,29,
8,Kolodziejski_,"Jedyne takie miejsce w Warszawie, gdzie wygrał Nawrocki. Gratulacje dla mieszkańców Rembertowa. Ocaliliście honor stolicy.",1,45,7,53,"Jun 4, 2025 · 2:56 PM UTC",122,15,
9,Vukainen,No tak większość radzieckich garnizonów i posterunków tam gdzie Nawrocki wygrał. Wszystko się zgadza.,0,0,0,0,"Jun 4, 2025 · 6:55 PM UTC",101,14,
10,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,583,9734,4033,14350,"Jun 2, 2025 · 5:04 PM UTC",274,43,
11,MarcinPrzybylek,"Trzeba przyznać, że Daniel Nawrocki zrobił OGROMNĄ robotę w kampanii jego ojca. To nie opinia, to fakt.",0,29,11,40,"Jun 4, 2025 · 1:49 PM UTC",103,17,
12,Morgenstern616,"podobno @szefernaker wychowanek pedofila Dymera grozi, że pozwie mnie za to,, że nazwę gangusa i sutenera, sutenerem i gangusem, zapraszam Karol Nawrocki to gangus i sutener",0,21,8,29,"Jun 4, 2025 · 6:42 PM UTC",173,26,
