hashtag,username,date,content,interactions,replies,retweets,likes,link
#nawrocki,Onak___,"Jun 5, 2025 · 1:57 PM UTC","Wy tu porównujecie wyniki z pierwszej i drugiej tury twierdząc, że Nawrocki nie mógł dostać X głosów, bo w pierwszej tylu nie dostał?! 🤣 Już rozumiem dlaczego tak łatwo dajecie się oszukać tej bandzie amatorów którzy nami aktualnie rządzą.",0,0,0,0,https://nitter.net/Onak___/status/1930624932058104309#m
#nawrocki,tomalxbr,"Jun 4, 2025 · 12:35 PM UTC","🚨🇵🇱🇪🇺 Le nouveau président polonais, Karol Nawrocki, a appelé l'Union européenne à respecter la souveraineté des nations européennes et les valeurs chrétiennes.",528,23,494,11,https://nitter.net/tomalxbr/status/1930242065197072770#m
#nawrocki,RyszardSok66623,"Jun 5, 2025 · 1:57 PM UTC",Nawrocki nie zna?,0,0,0,0,https://nitter.net/RyszardSok66623/status/1930624925926076747#m
#nawrocki,aK_Sojka,"Jun 4, 2025 · 11:37 AM UTC","Karol Nawrocki miał u boku nie tylko stratega, lecz prawdziwego SIGMĘ polityki. @szefernaker - algorytm zwycięstwa! Dziękuję 🇵🇱✌️",497,90,405,2,https://nitter.net/aK_Sojka/status/1930227320968884298#m
#nawrocki,Nawrocki25,"Jun 5, 2025 · 11:12 AM UTC","🇵🇱 Już dziś Prezydent Elekt Karol Nawrocki w pierwszym wywiadzie telewizyjnym po wyborach! Będziecie oglądać?
👉 @wPolscepl  @RepublikaTV",519,153,348,18,https://nitter.net/Nawrocki25/status/1930583489675423766#m
#nawrocki,ciahol,"Jun 5, 2025 · 11:42 AM UTC","Niech tylko 5 tys. komisji zrobi mini szwindel - po kilkadziesiąt głosów ""pomylonych"". I mamy te żyletki na korzyść pisiurskiego kandydata. A ściana wschodnia to potencjalne siedlisko takich komisji. Policzyć jeszcze raz tam, gdzie wygrał Nawrocki. I spr. głosy nieważne.",104,6,96,2,https://nitter.net/ciahol/status/1930590958506189237#m
#nawrocki,HanterPoen,"Jun 3, 2025 · 2:34 PM UTC","Już kombinuje PIS-szarlatan @OficjalnyJK Jakby tu ubezwłasnowolnić Prezydenta @NawrockiKn i zrobić z niego drugiego Dudę-marionetkę centrowego @pisorgpl,obstawić prezydenta ŻYDAMI by rządzili za #Nawrocki jak #Kuchciński🕎 to wyjątkowa antypolska kanalia.RZYDORA-#romaszewska-Duda",2,0,1,1,https://nitter.net/HanterPoen/status/1929909481992761848#m
#nawrocki,jakub55497,"Jun 5, 2025 · 1:56 PM UTC",A ja ci napisze co ty powinnaś zrobić iść I zamknąć się na końską kłódke w psychiatryku. Wiesz dlaczego Nawrocki dostał wyższy wynik ? Bo patrioci od Brauna i Mentzena zagłosowali na Nawrockiego bo nikt mądry nie popiera PO a że wy i niemcy nie jesteście mądrzy to ich popieracie,0,0,0,0,https://nitter.net/jakub55497/status/1930624895316279733#m
#nawrocki,Bob57PL,"Jun 5, 2025 · 9:13 AM UTC","♨️💯DOSZŁO DO POMYŁKI i przegrany Nawrocki został w tej komisji wygranym. Rozumiecie to⁉️🤦‍♂️
Cała Polska w napięciu liczy KAŻDY GŁOS, a komisja w składzie, który załączam się POMYLIŁA i podmieniła zwycięzcę⁉️
Ile lat jest za to ? Prezydenta wybieramy na 5, więc chyba PIĘĆ ⁉️🤦‍♂️😡😡",930,137,750,43,https://nitter.net/Bob57PL/status/1930553528923128131#m
#nawrocki,k_wachowska,"Jun 5, 2025 · 5:19 AM UTC","Na prawicy śmieją się, że Rafał Trzaskowski za szybko zaczął się cieszyć, że został Prezydentem. Czy ktoś z Was zauważył z jaką pewnością Nawrocki powiedział, że w nocy jeszcze wszystko się zmieni na jego korzyść? Skąd ta pewność?",2488,1991,456,41,https://nitter.net/k_wachowska/status/1930494715213893823#m
#nawrocki,mejmpl,"Jun 5, 2025 · 11:11 AM UTC","Kolejna komisja w której Trzaskowski stracił wyborców w drugiej turze a Nawrocki potroił wynik XD

Jak Wy tego nie wykorzystacie to będziecie frajerami, że głowa mała @GiertychRoman @ko_klub 

@PanstwKomWyb @PK_GOV_PL 
Linki poniżej:",399,51,341,7,https://nitter.net/mejmpl/status/1930583303465095272#m
#nawrocki,Arek_ZdWola,"Jun 5, 2025 · 9:43 AM UTC","Zrobiłem analizę wszystkich komisji wyborczych. Kraków nie był rekordzistą, najwięcej dziwnych przyrostów miał Nawrocki za granicą, sądzę że tamte składy komisji warto obejrzeć.

Jeśli ktoś potrzebuje dodatkowych analiz dajcie znać.",754,164,551,39,https://nitter.net/Arek_ZdWola/status/1930561227563896930#m
#nawrocki,NigdyWiecejPiS,"Jun 5, 2025 · 12:11 PM UTC","Wygląda na to, że gdyby nie wałek przy użyciu apki Mateckiego, wyniki wyborów wyglądałyby następująco:
- Karol Nawrocki 9 853 459
- Rafał Trzaskowski 10 386 173

Coś czuję, że będzie grubo. Please follow and stay tuned.",1186,343,792,51,https://nitter.net/NigdyWiecejPiS/status/1930598288836657278#m
#nawrocki,GiertychRoman,"Jun 5, 2025 · 1:30 PM UTC","Wiecie po co kandydował Jakubiak, Stanowski i inny plankton? Aby dawać kandydatów do komisji wyborczych. W jednej komisji w Krakowie, gdzie przewodniczącym był gość od  Stanowskiego w drugiej turze Nawrocki dostał trzy razy więcej głosów niż w pierwszej, a Trzaskowskiemu nic nie wzrosło. Cuda!",589,251,323,15,https://nitter.net/GiertychRoman/status/1930618229644198108#m
#nawrocki,Arek_ZdWola,"Jun 5, 2025 · 9:42 AM UTC","Poniżej analiza z wszystkich komisji wyborczych. Kraków nie był rekordzistą, najwięcej przyrostów miał Nawrocki za granicą, sądzę że tamte składy komisji warto obejrzeć.

Jeśli ktoś potrzebuje dodatkowych analiz dajcie znać.",414,82,294,38,https://nitter.net/Arek_ZdWola/status/1930560790525890852#m
#nawrocki,Rysiek04071893,"Jun 5, 2025 · 12:58 PM UTC","Było 32 143 komisji.
Aby skręcić wyniki wyborów wystarczyłoby, że w każdej komisji dojść mogło do fałszerstwa tylko trzynastu głosów. Dla dobrze przygotowane aparatczyka, to żaden problem. A tam gdzie nie było nadzoru, to mogli przewalać nawet tysiącami. ☝️ 
Nawrocki był zbyt pewny siebie, jakby wiedział na pewno, co się wydarzy. #Wybory2025 #PRZELICZAMY",66,7,59,0,https://nitter.net/Rysiek04071893/status/1930610202610458772#m
#nawrocki,AndrzejekMitura,"Jun 5, 2025 · 11:44 AM UTC","Wjednej z krakowskich komisji Karol Nawrocki odnotował rekordowy skok poparcia. I to w platformerskiej twierdzy. Jak to się mogło stać ?
W Krakowie w wyborach prezydenckich najwięcej głosów dostał Rafał Trzaskowski - zdobył poparcie ponad 62 procent wyborców. To rekord na południu Polski. Na kandydata PiS Karola Nawrockiego zagłosowało jedynie 37,84 procent mieszkańców Krakowa. To około 187 tysięcy osób. Ale w niektórych komisjach kandydat PiS wygrał w cuglach, nawet tem, gdzie w I turze sromotnie przegrał.

Więcej o tym przeczytacie tutaj :
krakow.wyborcza.pl/krakow/7,…",165,17,143,5,https://nitter.net/AndrzejekMitura/status/1930591560044880063#m
#nawrocki,ChopAntoni1,"Jun 5, 2025 · 9:42 AM UTC","Przede wszystkim Nawrocki wygral, bo ty pajacu razem z karlem z żoliborza i dupą byliscie na jej czas praktycznie schowani",26,7,18,1,https://nitter.net/ChopAntoni1/status/1930560903155486851#m
#nawrocki,Magorza25123280,"Jun 5, 2025 · 1:56 PM UTC",Tak wyniki Karola przenieśli na Rafała i jeszcze chcą liczyć to jest jakiś dramat Nawrocki miał 59% dlatego nie udało im się ich skręcić bo by było za widoczne,0,0,0,0,https://nitter.net/Magorza25123280/status/1930624801309130903#m
#nawrocki,GiertychRoman,"Jun 5, 2025 · 1:30 PM UTC","Wiecie po co kandydował Jakubiak, Stanowski i inny plankton? Aby dawać kandydatów do komisji wyborczych. W jednej komisji w Krakowie, gdzie przewodniczącym był gość od  Stanowskiego w drugiej turze Nawrocki dostał trzy razy więcej głosów niż w pierwszej, a Trzaskowskiemu nic nie wzrosło. Cuda!",592,254,323,15,https://nitter.net/GiertychRoman/status/1930618229644198108#m
#nawrocki,teresaglenc,"Jun 5, 2025 · 12:57 PM UTC",Nic słodszego dziś nie zobaczycie 😍 Karol Nawrocki ozdabia miseczkę serduszkiem dla Kasi 🩷🇵🇱,28,1,27,0,https://nitter.net/teresaglenc/status/1930610043025551607#m
#nawrocki,Georg_Pazderski,"Jun 4, 2025 · 10:54 AM UTC","Polens neuer Präsident KAROL NAWROCKI: promovierter Historiker, Sportler (PL 🇵🇱 Juniorenmeister im Schwergewichtsboxen, Fußball).

Parteilos, patriotisch, pro-christlich, gegen Abtreibung, gleichgeschlechtliche Ehe, Sexualisierung von Kindern.

VORBILD❗️",480,165,297,18,https://nitter.net/Georg_Pazderski/status/1930216584112373974#m
#nawrocki,HubnerrMax,"Jun 4, 2025 · 4:35 PM UTC","Czegoś takiego jeszcze nie było!

Prezydent Elekt Karol Nawrocki dostał mnóstwo gratulacji od zagranicznych przywódców na X, a my mielismy zaszczyt obserwować jego odpowiedzi.

Doskonałe, inteligentne i wskazujące na twardy kierunek polityki zagranicznej.

Zapraszam na nitkę.",1290,93,1166,31,https://nitter.net/HubnerrMax/status/1930302452068233222#m
#nawrocki,Tajol1959,"Jun 5, 2025 · 1:56 PM UTC","Czy ta Pani która oburzona pytała na X dlaczego kandydat Karol Tadeusz Nawrocki był pod numerem 1) na liście do głosowania , to jakaś Pani koleżanka?",0,0,0,0,https://nitter.net/Tajol1959/status/1930624786201203068#m
#nawrocki,Bob57PL,"Jun 5, 2025 · 9:13 AM UTC","♨️💯DOSZŁO DO POMYŁKI i przegrany Nawrocki został w tej komisji wygranym. Rozumiecie to⁉️🤦‍♂️
Cała Polska w napięciu liczy KAŻDY GŁOS, a komisja w składzie, który załączam się POMYLIŁA i podmieniła zwycięzcę⁉️
Ile lat jest za to ? Prezydenta wybieramy na 5, więc chyba PIĘĆ ⁉️🤦‍♂️😡😡",930,137,750,43,https://nitter.net/Bob57PL/status/1930553528923128131#m
#nawrocki,Kamrok9,"Jun 5, 2025 · 1:56 PM UTC","powinno się odbyć 
lewaki znów się skompromitują jak po ponownym przeliczeniu Nawrocki wygra",0,0,0,0,https://nitter.net/Kamrok9/status/1930624779645595808#m
#nawrocki,ewertonalves93,"Jun 5, 2025 · 1:56 PM UTC","Tem que resolver com eles, com a Holanda do Geert Wilders, com a Polônia de Tusk e Nawrocki (ambos direita), com a Itália de Meloni, com a Hungria do Orbán kkk..",0,0,0,0,https://nitter.net/ewertonalves93/status/1930624777141584287#m
#nawrocki,agnes51235072,"Jun 4, 2025 · 11:31 PM UTC","Pooglądałam sobie jasnowidza Jackowskiego, bo dużo rzeczy przewidział. Przewidział Trumpa, i Nawrockiego, co ciekawe przewidział rok temu, że przyszły prezydent zdradzi. Dziś wychodzi okrakiem, ale przewidział, że Nawrocki ucieknie za granicę. Czy zdradzi PiS i ucieknie? 
1/2",119,29,84,6,https://nitter.net/agnes51235072/status/1930407083700019509#m
#nawrocki,NigdyWiecejPiS,"Jun 5, 2025 · 12:11 PM UTC","Wygląda na to, że gdyby nie wałek przy użyciu apki Mateckiego, wyniki wyborów wyglądałyby następująco:
- Karol Nawrocki 9 853 459
- Rafał Trzaskowski 10 386 173

Coś czuję, że będzie grubo. Please follow and stay tuned.",1187,343,793,51,https://nitter.net/NigdyWiecejPiS/status/1930598288836657278#m
