id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
1,John_Albedo_,Albedo,"Dorosli meżczyzni czasem się poszarpią i zachowują się jak małe niedźwiadki, małe tygrysy. Jak nie mają do siebie o to pretensji to nie ma problemu. W całej Polsce i zawsze. No ale może ty jesteś zbyt delikatny, wrażliwy i taki widok wzbudza twój lęk... 🤷‍♂️",0,0,0,0,"Jul 22, 2025 · 12:18 PM UTC",45,258,https://nitter.net/John_Albedo_/status/1947632327170953312#m
2,MrJohnBingham,John Bingham,"Warszawa Rafała @trzaskowski_ , przy wsparciu finansowym @Grupa_PGE , uroczyście świętuje 70-lecie stalinowskiego symbolu zniewolenia Polaków.",71,34,4,1,"Jul 22, 2025 · 11:24 AM UTC",16,142,https://nitter.net/MrJohnBingham/status/1947618784446980154#m
3,PlPrzemys,Przemysław Pl,*określana debilami,0,0,0,0,"Jul 22, 2025 · 12:17 PM UTC",2,19,https://nitter.net/PlPrzemys/status/1947632156584382534#m
4,MSchreiberM,Marianna Schreiber,Jak tam Panie @trzaskowski_ ? Coś na ten temat?,280,35,60,0,"Jul 22, 2025 · 7:40 AM UTC",9,47,https://nitter.net/MSchreiberM/status/1947562457884479538#m
5,smnelken,Stanisław Nelken,"Do młodych trzeba trafiać systematycznie, a nie raz w roku. młodzieżówka PO nic nie kuma.",0,0,0,0,"Jul 22, 2025 · 12:16 PM UTC",15,89,https://nitter.net/smnelken/status/1947631844587110479#m
6,PsotnyTomasz,Tomasz,"Jak Pani partnerów weryfikuje w taki sam sposób jak tego typu filmiki, to nie ma się co potem dziwić xD",6,1,1,0,"Jul 22, 2025 · 8:05 AM UTC",20,103,https://nitter.net/PsotnyTomasz/status/1947568633510826093#m
7,Maciej846612,Maciej 🇵🇱 #TuskZawszeKłamie,"Uśmiechnięci @TomaszSiemoniak @trzaskowski_ Tak wygląda ubogacenie kulturowe? Jest coraz bezpieczniej, tak? SERIO❓ #migranciTuska #normalnapolska 🇵🇱 #Nawrocki2025 @CzarnekP @PatrykJaki @cezarygmyz @R_A_Ziemkiewicz @KonradPiasecki @BogRymanowski @2025_EwaPolka @pisorgpl",8,6,0,0,"Jul 22, 2025 · 11:12 AM UTC",24,269,https://nitter.net/Maciej846612/status/1947615785817674174#m
8,Twardesutki1,Twardesutki,Trzaskowski przegrał Wytrzeźwiejcie 🫡😂😂,0,0,0,0,"Jul 22, 2025 · 12:16 PM UTC",4,39,https://nitter.net/Twardesutki1/status/1947631744653341044#m
9,Zuzanna19194,Zuzanna,"Dobrze, ale: Zobacz co zrobił dzisiaj w Warszawie czarny kąt białemu człowiekowi!!!!!! Gdzie policja??",0,0,0,0,"Jul 22, 2025 · 12:15 PM UTC",14,102,https://nitter.net/Zuzanna19194/status/1947631635140362610#m
10,Drzymalski_,Jarosław Drzymalski,Uważam że Rafał Trzaskowski powinien osobiście się tam zespawnować i zareagować.,0,0,0,0,"Jul 22, 2025 · 12:15 PM UTC",11,80,https://nitter.net/Drzymalski_/status/1947631486603067445#m
11,Micha88973412,Michał,Wg sondaży to Trzaskowski mial wygrać z dużą przewagą głosów. To są takie właśnie tendencyjne pytania tam. Ciekawostką jest na pewno to ze Wam sie pytania nie podobały w referendum bo tendencyjne ale juz w takim badaniu sie podobają bo wyniki wyszły ok.,0,0,0,0,"Jul 22, 2025 · 12:14 PM UTC",43,253,https://nitter.net/Micha88973412/status/1947631324518617577#m
