id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,haldur02021,"Słuchaj idiotko -znowu kłamiesz i manipulujesz .Ciekawe jaką marionetką w rękach Tuska byłby Trzaskowski . Oj nie pasuje ci pańciu ,że to Nawrocki wygrał .Gdybyś zamknęła buzie na kłódkę i nie denerwowała Polaków ,to może Trzask ,by wygrał .Teraz też przegracie",0,0,0,0,25-08-25,261,41,,https://nitter.net/haldur02021/status/1959963070790287769#m
2,adam_abramczyk,"Czy ja dobrze pamiętam, że w czasie kampanii prezydenckiej, Rafał Trzaskowski mówił dokładnie to samo, co dziś prezydent Nawrocki, argumentując swoje weto do nowelizacji ustawy o pomocy obywatelom Ukrainy?",1,3,33,37,25-08-25,205,29,,https://nitter.net/adam_abramczyk/status/1959960387899576765#m
3,KnightCziwi,Stan gry na dziś: - Trzaskowski wywalony z limuzyny 🚫🚘 - Tusk obrywa raz za razem 👊💥 - Banderowcy znokautowani ❌❌❌ - Niemieckie media i Silni Razem wyją 🗣️📢,0,38,4,42,25-08-25,156,29,,https://nitter.net/KnightCziwi/status/1959945889725780379#m
4,pikus_pol,"🙃 Trzaskowski: - większość Ukraińców w PL ciężko pracuje, tu mieszkają tu płacą podatki, dzieci uczą się w polskich szkołach ... to absolutnie jasne że powinni otrzymywać 800+. Tym, którzy w PL nie pracują, 800+ się nie należy.... ktoś musiał to w końcu głośno powiedzieć😂",7,95,14,116,25-08-25,272,45,,https://nitter.net/pikus_pol/status/1959951831448076340#m
5,Robert_Galazka,"bo taki jest plan Putina, a słup zainstalowany w pałacu wykonuje i realizuje ten plan. Wszyscy widzą, komentują, ale nikt nic nie robi. Głosy nadal nie są przeliczone, a wiadomo kto wygrał wybory - Trzaskowski.",0,0,0,0,25-08-25,210,35,,https://nitter.net/Robert_Galazka/status/1959962900296008179#m
6,MurzynfrogXXX,"To mówicie, że instytucje podległe rządowi kupiły BMW za dwie bańki żeby Trzaskowski miał czym jeździć ale jednak wygrał Nawrocki więc próbują atakować go tym BMW? Z dnia na dzień zaskakują. Jakoś omijają temat, że Tusk jeździ takim samym xD",9,959,119,1087,23-08-25,241,40,,https://nitter.net/MurzynfrogXXX/status/1959235166779441211#m
7,AdamKAS7,"Walą w Prezydenta ale nie wiedzą, że Trzaskowski i Tusk też chcieli to zrobić.",0,5,0,5,25-08-25,78,14,,https://nitter.net/AdamKAS7/status/1959946126397706263#m
8,Bartek71952282,Chuj z tym że Trzaskowski obiecywał to samo xD,0,0,0,0,25-08-25,46,9,,https://nitter.net/Bartek71952282/status/1959962842964086969#m
9,lideksynubeka,"A dlaczego nie? On jest tak głupi,że uwierzy w swoją kolejną szansę. Zwłaszcza,jak otoczenie go podpuści:„Rafał, jesteś wspaniały,cała Polska cię kocha”.Zapomni o 2-ch przegranych.",0,0,0,0,25-08-25,180,24,,https://nitter.net/lideksynubeka/status/1959962822097441229#m
10,TheSaint1611,"Ukraińcy sobie ustawili na starówce w Dzień Niepodległości Ukrainy Putina w kształcie kutasa i w chuju mają, że tam chodzą rodziny z dziećmi. W ogóle Ty jesteś chuj @trzaskowski_, że na to świętowanie im tam pozwoliłeś.",26,439,247,712,24-08-25,219,36,,https://nitter.net/TheSaint1611/status/1959585493563367886#m
11,Wiesci24pl,"Trzaskowski wygrałby wybory prezydenckie, gdyby nie oszustwa. Co wynika z analizy dr. Krzysztofa Kontka? wiesci24.pl/2025/08/25/trzas…",17,233,148,398,25-08-25,134,15,,https://nitter.net/Wiesci24pl/status/1959840752743178255#m
12,KrzychuBlues,"🔥🔥🔥Wyborco @trzaskowski_ podziękuj Prezydentowi @NawrockiKn, gdyż będąc Prezydentem wszystkich Polaków, spełnił postulat swojego kontrkandydata w wyborach prezydenckich wetując ustawę o pomocy Ukraińcom! 10 mln głosując na RT tego oczekiwała😏‼️",13,144,7,164,25-08-25,244,29,,https://nitter.net/KrzychuBlues/status/1959940098872443134#m
13,Alex_AlexPL,Będę w kółko przypominać 🇵🇱:🇩🇪 2:0 I już Ci nic nie pomoże 🤣,0,0,0,0,25-08-25,60,13,,https://nitter.net/Alex_AlexPL/status/1959962741034144027#m
14,Bartek71952282,A Trzaskowski tego nie obiecywał bo z czego to pamiętam to wszyscy byli przeciw xD,0,0,0,0,25-08-25,82,15,,https://nitter.net/Bartek71952282/status/1959962720381399077#m
15,DudekPL4,"Nie rozumiem wycia silniczków przecież Rafał Trzaskowski w kampanii wyborczej obiecywał, że też tego nie podpisze 😁",5,31,4,40,25-08-25,115,17,,https://nitter.net/DudekPL4/status/1959952189352288686#m
16,MariuszGzyl,"Pleciesz bzdury, obowiązuje ochrona UE. Nie powielaj fejkow. Poza tym twój kandydat @trzaskowski_ rozpoczął tę nagonkę w swojej durnej kampanii wyborczej.",0,0,0,0,25-08-25,154,21,,https://nitter.net/MariuszGzyl/status/1959962688303362338#m
17,ZDociekliwa,Podobną propozycję zgłosił kiedyś Pan Trzaskowski i poparł ją Premier Tusk.,0,0,0,0,25-08-25,75,11,,https://nitter.net/ZDociekliwa/status/1959962670427209859#m
18,prof_Mittelmerz,"Panie @trzaskowski_, może jakieś podziękowania dla @NawrockiKn za dowiezienie pańskiego postulatu? Kwiatki i Prince Polo wystarczą.",0,16,2,18,25-08-25,131,16,,https://nitter.net/prof_Mittelmerz/status/1959956948457075014#m
19,lidialemaniak,"Sugeruje Pani, że pan premier Tusk i pan prezydent Warszawy Trzaskowski, są słabi z matematyki? Odważnie!",0,3,5,8,25-08-25,105,16,,https://nitter.net/lidialemaniak/status/1959958415712686557#m
20,DudekPL4,"Nie rozumiem wycia silniczków przecież Rafał Trzaskowski w kampanii wyborczej obiecywał, że też tego nie podpisze 😁",5,31,4,40,25-08-25,115,17,,https://nitter.net/DudekPL4/status/1959952189352288686#m
