id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,CDzwoni,"Największą zasługą Trumpa dla Polski nie była oczywiście fotka z Nawrockim, a wymuszenie na Berlinie, że wynik naszych wyborów nie będzie kwestionowany. Poranny tłit von der Leyen był jasnym sygnałem dla Tuska i ekipy. Trzaskowski i Hołownia zrozumieli i grzecznie pogratulowali. Tusk wisi na telefonie i błaga Berlin o zmianę decyzji. Ale nic nie ugra.",69,2382,327,2778,"Jun 2, 2025 · 10:14 AM UTC",353,55,
2,mylo0099,"Mocno, ale dobrze ! pewnie boli i ma bolec. Może wreszcie zrozumieją.",0,0,0,0,"Jun 3, 2025 · 7:08 AM UTC",69,12,
3,Izabela34152839,"Trzaskowski, bo w 2 godziny uwinął się chłopina ze wszystkim i nie zawracał d… 🤭",0,0,0,0,"Jun 3, 2025 · 7:08 AM UTC",80,15,
4,tomasz5690,"Oprócz cytowania było coś o utkaniu i radzeniu, czyli typowe bolszewickie zacięcie.",0,0,0,0,"Jun 3, 2025 · 7:08 AM UTC",83,12,
5,ma_zakrzewska,"Mam trzy dodatkowe myśli. 1. Konieczna głęboka wymiana kadr. Zmniejszenie liczby ministerstw to za mało. Trzeba odsunąć od wpływów armię pisowskich urzędników – lojalnych wobec partii, a nie państwa – którzy nie zostali ruszeni i nadal torpedują zmiany. Czas zatrudnić specjalistów i realnie odbudować niezależną służbę cywilną. 2. Komunikacja dostosowana do odbiorców. Strategia komunikacji powinna być profesjonalna i oparta na badaniach – jasno określić grupę /y docelowe, zrozumieć ich potrzeby i dobrać właściwe kanały. To może oznaczać nie tylko media społecznościowe, ale także działania lokalne, tradycyjne media i inne formy. 3. Koniec finansowania Kościoła z budżetu państwa. Kościół odegrał polityczną rolę, choć nie powinien. Agitacja wyborcza w czasie ciszy wyborczej, poparcie dla Nawrockiego – to naruszenie prawa i podstaw demokracji. Czas, by Kościół skupił się na duchowości i potrzebach wiernych, a nie na polityce. Finansowanie powinno być przejrzyste i dobrowolne – zgodne z nauką Kościoła o uczciwości i odpowiedzialności.",0,27,10,37,"Jun 2, 2025 · 7:00 PM UTC",1044,149,
6,myslozbir,"""Czas się napi*rdalać."" Linus Lewandowski, aktywista #LGBT, nawołuje do przemocy po tym, jak Trzaskowski przegrał wybory. Działacz skompromitowanego ""Homokomando"" (oskarżenia o gwałty i ich tuszowanie), chce by Tusk bezprawnie przejął władzę w Polsce. Oto tęczowa demokracja!",23,371,273,667,"Jun 2, 2025 · 5:49 PM UTC",275,36,
7,WolnoscO,Ciekawostka‼ Rafał Trzaskowski nie ułaskawił ani jednego polityka podczas swojej 2-godzinnej prezydentury,0,0,0,0,"Jun 3, 2025 · 7:08 AM UTC",105,12,
8,kkowalskikbk,"Spokojnie, wszyscy wymienieni doczekają się wyroków. To wina Ziobry i Kaczyńskiego, że sądy działają tak powoli... Nie pamiętam. Wrzucisz nazwiska? Ja podałem Ci konkrety, nazwiska skazanych. A Ty?",0,0,0,0,"Jun 3, 2025 · 7:08 AM UTC",197,28,
9,tenyoush,jak ktoś mi napisze że no erm niewiadomo czy trzaskowski też byłby pro lgbt to wybuchnę,0,0,0,0,"Jun 3, 2025 · 7:08 AM UTC",87,16,
10,PogPsych,Ale jaki alfons i ćpun? Przecież Trzaskowski przegrał.,0,23,6,29,"Jun 3, 2025 · 5:56 AM UTC",54,8,
