hashtag,username,date,content,interactions,replies,retweets,likes,link
#trzaskowski,MaurycyWashing,"Jun 7, 2025 · 6:09 PM UTC",130 komisji zrobiło błąd. Garść głosów. Szczeba ciołku,0,0,0,0,https://nitter.perennialte.ch/MaurycyWashing/status/1931413154765939052#m
#trzaskowski,prawy_krytyk,"Jun 7, 2025 · 6:09 PM UTC",oj wszystko ci się nie będzie zgadzało z przekazem jest i tak nic nie warte - ma być że tylko Trzaskowski tracił i nikt inaczej się nie mylił - co będzie jak się okaże że pomyłki będą w dwie strony i pare osob robiło z wyborców idiotów.,0,0,0,0,https://nitter.perennialte.ch/prawy_krytyk/status/1931413151389560993#m
#trzaskowski,kryztiandk,"Jun 7, 2025 · 5:15 PM UTC","Dla mnie to najciekawsza dana z exit polla. Rafał Trzaskowski na żadną emeryturę nie pójdzie, i wielu jego rywali już to wie 😎",9,6,3,0,https://nitter.perennialte.ch/kryztiandk/status/1931399740031181250#m
#trzaskowski,czardam,"Jun 7, 2025 · 1:37 PM UTC","📊 Różnica w liczbie komisji, w których kandydaci otrzymali mniej głosów w II turze niż w pierwszej:

🔹 @trzaskowski_ - spadek w 130 komisjach
🔹 @NawrockiKn - spadek w 114 komisjach

👉 Łącznie w tych 130 komisjach Trzaskowskiemu liczba głosów spadła o 481 sztuk. 

Giertych ma te dane i zna te dane, ale Jego celem nie jest wyjaśnianie niejasności, a zwykłe grzanie wojny, polaryzacji i radykalizowania #SilniRazem. 

Musi wcisnąć fanatykom kit, że Premier  @donaldtusk przegrał wybory z powodu fałszerstwa, a nie z powodu własnej słabości.",444,61,359,24,https://nitter.perennialte.ch/czardam/status/1931344825988653333#m
#trzaskowski,IxTraw,"Jun 7, 2025 · 6:08 PM UTC","Pięknie, kolorowo i rodzinnie.
Brawo Panie Prezydencie 💪💪✌️",0,0,0,0,https://nitter.perennialte.ch/IxTraw/status/1931413092891521116#m
#trzaskowski,AlaBezFanatykow,"Jun 7, 2025 · 5:01 PM UTC","""Łącznie w tych 130 komisjach Trzaskowskiemu liczba głosów spadła o 481 sztuk.""

Pajacu na krzywych nóżkach już przechodzisz w łgarstwach i manipulacjach Pinokia.
Tylko w OKW 95 w Krakowie R.T. stracił 592 głosy.
Wymyślanie bzdur,by zamącić obraz, pokazuje perfidię, ale i strach.",15,0,15,0,https://nitter.perennialte.ch/AlaBezFanatykow/status/1931396209878474782#m
#trzaskowski,Bartq_,"Jun 7, 2025 · 6:08 PM UTC","Oczywiście.
Wybory byłyby uczciwe tylko wtedy, gdyby wygrał Trzaskowski.
Ludzie kochani, przyjmijcie porażkę na klatę i zrozumcie wreszcie, że to z Wami jest coś nie tak!

Obwinianie wszystkich dookoła wymaga konsultacji specjalistycznej a nie ofensywy medialnej.",0,0,0,0,https://nitter.perennialte.ch/Bartq_/status/1931413057739051464#m
#trzaskowski,Ona1743631,"Jun 7, 2025 · 6:08 PM UTC","Moje marzenie,by sprawdzili ta komisje 113.To Mokotów i tam wygrywa Trzaskowski,więc może się okazać,że Nawrocki miał nawet zawyżone te 2 głosy XDwiecej niż w 1 turze",0,0,0,0,https://nitter.perennialte.ch/Ona1743631/status/1931413043100987837#m
#trzaskowski,M7S0000097,"Jun 7, 2025 · 6:08 PM UTC","Nie mówimy o sytuacji, w której zginęła karta, to się może zdarzyć. I są na to procedury. Wystarczy dosłownie wytyczne przeczytać. Chyba, że przewodniczącym jest ktoś, kto nie ma pojęcia o tej robocie to i 10 godzin możecie siedzieć i nic nie wymyślicie.",0,0,0,0,https://nitter.perennialte.ch/M7S0000097/status/1931413036826259794#m
#trzaskowski,rywasik,"Jun 7, 2025 · 6:08 PM UTC","Optymistyczne ze tam w PO są ludzie myślący. 
A jeszcze lepiej ze Rafał Trzaskowski był drugi",0,0,0,0,https://nitter.perennialte.ch/rywasik/status/1931413015208902904#m
