id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,hashtag,date,content,interactions
1.0,BeMarcin,Wlazłem na chat pod transmisją z Onetu. Na pytanie: Dlaczego w więzieniach Trzaskowski uzyskał prawie 90% poparcia? Otrzymałem odpowiedź 😂,6,102,37,145.0,07-06-25,138.0,20.0,,https://nitter.perennialte.ch/BeMarcin/status/1931437841038369084#m,,,,
2.0,Cosac_,Głosujmy do skutku żeby Rafałek wygrał.,0,0,0,0.0,08-06-25,39.0,6.0,,https://nitter.perennialte.ch/Cosac_/status/1931796897670521032#m,,,,
3.0,jasiu320,"W całej aferze wyborczej mi nie chodzi o to, kto wygra — Trzaskowski czy Nawrocki!? Chodzi o uczciwość! Chcę mieć pewność, że mój głos trafi tam, gdzie go oddałem. Że nie zostanie sfałszowany, zgubiony, zmanipulowany. Bez tego wybory to fikcja, a demokracja to kłamstwo!",2,30,3,35.0,08-06-25,270.0,44.0,,https://nitter.perennialte.ch/jasiu320/status/1931792494632526216#m,,,,
4.0,ArturMaksymowi3,Czyli będzie liczenie aż wygra Trzaskowski. Wy pojebani jesteście.,0,0,0,0.0,08-06-25,66.0,9.0,,https://nitter.perennialte.ch/ArturMaksymowi3/status/1931796880788230554#m,,,,
5.0,BadID_,youtube.com/watch?v=GsBHBCwI…,0,6,0,6.0,08-06-25,29.0,1.0,,https://nitter.perennialte.ch/BadID_/status/1931678887647330632#m,,,,
6.0,Lacraa6,"Zastanawiam się.. skąd PiSowieci biorą ""informacje"" o tym, że Rafał Trzaskowski jest beznadziejnym włodarzem Warszawy🤔 W wyborach w 2018r zdobył mandat zaufania już w I turze. Po latach trwania na stanowisku, w 2024 ponownie wygrał w I turze. Głosować mogą tylko mieszkańcy Warszawy.. Więc albo coś się nie klei albo jak zwykle, PiSowieci ""myślą"" że każda Polka i Polak to ich wyborca 👆 (Tak, tak.. PiS uważa, że lud jest tak głupi, że ""łyknie"" wszystko)",2,233,45,280.0,08-06-25,454.0,75.0,,https://nitter.perennialte.ch/Lacraa6/status/1931759894820004231#m,,,,
7.0,Chaikola1,"a gdyby Rafał Trzaskowski wygrał, to izba by nie była sprzeczna z konstytucją? Pytam, bo przez pół roku kampanii nie słyszałem, żeby był jakiś problem.",0,0,0,0.0,08-06-25,151.0,25.0,,https://nitter.perennialte.ch/Chaikola1/status/1931796853093548060#m,,,,
8.0,Jan_Pawlicki,"Sekta Giertycha pomija jeden istotny czynnik: w razie powtórzenia wyborów Trzaskowski nie zostanie rozjechany. Zostanie zmasakrowany. Ludzie się policzyli i przestali bać tej liberalnej, elitarnej hołoty.",4,187,83,274.0,08-06-25,204.0,26.0,,https://nitter.perennialte.ch/Jan_Pawlicki/status/1931655168426160391#m,,,,
9.0,Jan_Pinski,"To, że ludzie związani z kolportażem i użyciem w komisji Aplikacji Mateckiego - jeszcze nie są zatrzymani i nie mają zarzutów, to skandal. Mamy tutaj jakiś masowy gwałt na ochronie danych osobowych (prywatna baza PESEL itp.). Gdzie ABW? Gdzie UODO? Dlaczego ABW zabezpieczająca z mocy prawa wybory nie interweniowała przed głosowaniem i w trakcie, chociaż kolportaż tej ""apki"" był widoczny w mediach społecznościowych? @JacekDobrzynski @TomaszSiemoniak",9,567,90,666.0,08-06-25,452.0,65.0,,https://nitter.perennialte.ch/Jan_Pinski/status/1931731806430109780#m,,,,
10.0,JanSpiewak,"Matko. @trzaskowski_ dał zgodę na wyburzenie piętrowego biurowca i postawienie w tym miejscu 7 piętrowego apartamentowca. Tuż obok trybun Polonii, której też już dawno temu obiecał nowy stadion. Sportowa patodeweloperka tego jeszcze nie grali! Podziwiam inwencję Rafiego 🙈🥶🤣",31,716,271,1018.0,07-06-25,274.0,38.0,,https://nitter.perennialte.ch/JanSpiewak/status/1931302199222538727#m,,,,
