id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,se_pl,Czy wybory prezydenckie w Polsce powinny zostać powtórzone? #Wybory2025 #WyboryPrezydenckie #WyboryPrezydenckie2025 #wybory #Trzaskowski #Nawrocki,9,402,45,456,09-06-25,146,14,,https://nitter.net/se_pl/status/1932159660016214160#m
2,BonaAgnes,"Ktoś twierdzi, że jak pomyłki, to zawsze na szkodę R. Trzaskowskiego? Bzdura... #setkiAgnieszkiP #Wybory2025 #WyboryPrezydenckie2025 #trzaskowski #Nawrocki @Nawrocki25 @DanielNawrocki_ @CzarnekP @Tysol wybory.gov.pl/prezydent2025/…",0,8,1,9,10-06-25,231,22,,https://nitter.net/BonaAgnes/status/1932311025627300043#m
3,DanielMomot_,Sonda : Czy wybory prezydenckie w Polsce powinny zostać powtórzone? #Wybory2025 #WyboryPrezydenckie #WyboryPrezydenckie2025 #wybory #Trzaskowski #Nawrocki,0,8,1,9,09-06-25,154,16,,https://nitter.net/DanielMomot_/status/1932179770512408960#m
4,idzpodpradpl,"Dziś w #IPPTVNaŻywo już o 13:00: 🇵🇱 CHAOS wyborczy – kto winien?! 👨‍⚖️ Czy PKW i Sąd Najwyższy unieważnią wybory? 🗳️ Czy czeka nas ponowne głosowanie? 🤔 A może ""Polacy, nic się nie stało""? ⚽ FOCH Lewandowskiego! 🔥 Probierz vs Lewandowski – kto ma rację? #Wybory2025 #Lewandowski #Probierz #PKW #SądNajwyższy #Polityka #Polska",1,21,2,24,09-06-25,325,52,,https://nitter.net/idzpodpradpl/status/1932020525804470647#m
5,Beata_Andre,Już 28 protestów wyborczych wylądowało w Sądzie Najwyższym. A to dopiero początek — kolejne ciągle napływają. Nie ma zgody na nieprawidłowości. Ludzie domagają się uczciwych wyborów! #wybory2025,9,449,289,747,09-06-25,194,27,,https://nitter.net/Beata_Andre/status/1932006492669968599#m
6,Wroc_lawia,"ciemnota umysłowa., Błąd statystyczny większy niż różnica #nawrocki #trzaskowski w #exitpoll #wybory2025",0,2,0,2,04-06-25,104,12,,https://nitter.net/Wroc_lawia/status/1930353589031186498#m
7,BelieveAllHere,Paweł Zdun z Ruchu Kontroli Wyborów publicznie podburza kandydatów na członków OKW do łamania polskiego prawa. Jeśli to nie jest planową próbą zakłócania przebiegu wyborów to ja już nie wiem co nią jest. #Wybory #Wybory2025,0,49,0,49,09-06-25,223,35,,https://nitter.net/BelieveAllHere/status/1932146227786698778#m
8,szykom89,"Skręcić #Wybory, to dla przestępczej partii @pisorgpl #PiS (jak mawiał klasyk) ""małe piwo przed śniadaniem"". #SfałszowaneWybory @NawrockiKn #WyboryPrezydenckie2025 #Prezydent #Wybory2025 #nawrocki #WyboryPrezydenckie @prezydentpl #Prezydent2025 @PanstwKomWyb",0,1,0,1,10-06-25,258,25,,https://nitter.net/szykom89/status/1932329387711688734#m
9,Polityczny_Bajz,"🔥 Lis kontra Stanowski o Lewandowskim i wyborach! Tomasz Lis krytykuje zainteresowanie Lewandowskim, gdy wciąż nie wiadomo, kto wygrał wybory. Krzysztof Stanowski odpowiada ostro: „Jeśli ktoś n #PolitycznyBajzel #Lewandowski #TomaszLis #KrzysztofStanowski #wybory2025 #konflikt",0,0,0,0,10-06-25,277,33,,https://nitter.net/Polityczny_Bajz/status/1932329583619317841#m
10,ZaPLMundurem,"Kalisz stracił pewność? Poranna rozmowa Kalisza z goniec.pl rzuca nieco inne światło na sytuację. „Nie wydaje mi się, żeby ta skala przekroczyła kilka tysięcy...."" #Wybory2025 #GiertychDebil #Giertych #Kalisz",6,49,8,63,09-06-25,208,28,,https://nitter.net/ZaPLMundurem/status/1932001936858849756#m
